zip_code_id,postal_code,city,county_name,state_id,state_name,timezone,longitude,population,latitude
2505,48657,Sanford,Midland,MI,Michigan,America/Detroit,-84.42066,7858,43.7109
2506,48658,Standish,Arenac,MI,Michigan,America/Detroit,-83.93686,4968,43.98067
2507,48659,Sterling,Arenac,MI,Michigan,America/Detroit,-84.05049,2711,44.06686
2508,48661,West Branch,Ogemaw,MI,Michigan,America/Detroit,-84.2408,10446,44.32893
2509,48662,Wheeler,Gratiot,MI,Michigan,America/Detroit,-84.41098,1643,43.41115
2510,48667,Midland,Midland,MI,Michigan,America/Detroit,-84.23409,0,43.60217
2511,48701,Akron,Tuscola,MI,Michigan,America/Detroit,-83.54524,1470,43.58607
2512,48703,Au Gres,Arenac,MI,Michigan,America/Detroit,-83.67161,2919,44.0631
2513,48705,Barton City,Alcona,MI,Michigan,America/Detroit,-83.65359,529,44.70086
2514,48706,Bay City,Bay,MI,Michigan,America/Detroit,-83.95464,39419,43.59715
2515,48708,Bay City,Bay,MI,Michigan,America/Detroit,-83.84505,26281,43.5619
2516,48710,University Center,Bay,MI,Michigan,America/Detroit,-83.98782,0,43.55651
2517,48720,Bay Port,Huron,MI,Michigan,America/Detroit,-83.35018,987,43.83241
2518,48721,Black River,Alcona,MI,Michigan,America/Detroit,-83.34554,463,44.80513
2519,48722,Bridgeport,Saginaw,MI,Michigan,America/Detroit,-83.8418,3033,43.34831
2520,48723,Caro,Tuscola,MI,Michigan,America/Detroit,-83.38701,12028,43.48559
2521,48724,Carrollton,Saginaw,MI,Michigan,America/Detroit,-83.92283,484,43.46004
2522,48725,Caseville,Huron,MI,Michigan,America/Detroit,-83.20711,2093,43.93737
2523,48726,Cass City,Tuscola,MI,Michigan,America/Detroit,-83.16912,5890,43.60769
2524,48727,Clifford,Lapeer,MI,Michigan,America/Detroit,-83.17567,1153,43.30975
2525,48728,Curran,Alcona,MI,Michigan,America/Detroit,-83.82747,242,44.73606
2526,48729,Deford,Tuscola,MI,Michigan,America/Detroit,-83.17857,1457,43.49495
2527,48730,East Tawas,Iosco,MI,Michigan,America/Detroit,-83.47091,4474,44.34876
2528,48731,Elkton,Huron,MI,Michigan,America/Detroit,-83.1587,1575,43.84084
2529,48732,Essexville,Bay,MI,Michigan,America/Detroit,-83.78266,11330,43.60666
2530,48733,Fairgrove,Tuscola,MI,Michigan,America/Detroit,-83.59069,1693,43.53287
2531,48734,Frankenmuth,Saginaw,MI,Michigan,America/Detroit,-83.74436,7516,43.35437
2532,48735,Gagetown,Tuscola,MI,Michigan,America/Detroit,-83.27348,1060,43.66823
2533,48737,Glennie,Alcona,MI,Michigan,America/Detroit,-83.69877,1216,44.55041
2534,48738,Greenbush,Alcona,MI,Michigan,America/Detroit,-83.33287,1181,44.5519
2535,48739,Hale,Iosco,MI,Michigan,America/Detroit,-83.84006,3940,44.37289
2536,48740,Harrisville,Alcona,MI,Michigan,America/Detroit,-83.37952,2353,44.66021
2537,48741,Kingston,Tuscola,MI,Michigan,America/Detroit,-83.18348,1982,43.40514
2538,48742,Lincoln,Alcona,MI,Michigan,America/Detroit,-83.44363,1694,44.72832
2539,48743,Long Lake,Iosco,MI,Michigan,America/Detroit,-83.86964,105,44.43963
2540,48744,Mayville,Tuscola,MI,Michigan,America/Detroit,-83.36059,4183,43.3477
2541,48745,Mikado,Alcona,MI,Michigan,America/Detroit,-83.4727,1249,44.56994
2542,48746,Millington,Tuscola,MI,Michigan,America/Detroit,-83.54282,8004,43.265
2543,48747,Munger,Bay,MI,Michigan,America/Detroit,-83.76121,1348,43.52178
2544,48748,National City,Iosco,MI,Michigan,America/Detroit,-83.66737,1838,44.30406
2545,48749,Omer,Arenac,MI,Michigan,America/Detroit,-83.88726,1063,44.05459
2546,48750,Oscoda,Iosco,MI,Michigan,America/Detroit,-83.45424,8479,44.44324
2547,48754,Owendale,Huron,MI,Michigan,America/Detroit,-83.23591,958,43.73368
2548,48755,Pigeon,Huron,MI,Michigan,America/Detroit,-83.2702,2985,43.83419
2549,48756,Prescott,Ogemaw,MI,Michigan,America/Detroit,-83.97408,4551,44.22939
2550,48757,Reese,Tuscola,MI,Michigan,America/Detroit,-83.67944,3681,43.46941
2551,48759,Sebewaing,Huron,MI,Michigan,America/Detroit,-83.39381,3200,43.72871
2552,48760,Silverwood,Tuscola,MI,Michigan,America/Detroit,-83.25754,1407,43.32116
2553,48761,South Branch,Iosco,MI,Michigan,America/Detroit,-83.89236,876,44.51194
2554,48762,Spruce,Alcona,MI,Michigan,America/Detroit,-83.48879,1090,44.81743
2555,48763,Tawas City,Iosco,MI,Michigan,America/Detroit,-83.61271,5015,44.25253
2556,48765,Turner,Arenac,MI,Michigan,America/Detroit,-83.71778,728,44.15262
2557,48766,Twining,Arenac,MI,Michigan,America/Detroit,-83.84647,1256,44.11103
2558,48767,Unionville,Tuscola,MI,Michigan,America/Detroit,-83.45716,2014,43.64224
2559,48768,Vassar,Tuscola,MI,Michigan,America/Detroit,-83.57789,9639,43.37136
2560,48770,Whittemore,Iosco,MI,Michigan,America/Detroit,-83.82086,1893,44.24876
2561,48801,Alma,Gratiot,MI,Michigan,America/Detroit,-84.67974,12717,43.37769
2562,48806,Ashley,Gratiot,MI,Michigan,America/Detroit,-84.49754,1555,43.185
2563,48807,Bannister,Gratiot,MI,Michigan,America/Detroit,-84.40479,844,43.15305
2564,48808,Bath,Clinton,MI,Michigan,America/Detroit,-84.44827,5930,42.82556
2565,48809,Belding,Ionia,MI,Michigan,America/Detroit,-85.25823,10789,43.06537
2566,48811,Carson City,Montcalm,MI,Michigan,America/Detroit,-84.855,5323,43.1811
2567,48813,Charlotte,Eaton,MI,Michigan,America/Detroit,-84.8454,20972,42.58015
2568,48815,Clarksville,Ionia,MI,Michigan,America/Detroit,-85.25708,2504,42.84126
2569,48816,Cohoctah,Livingston,MI,Michigan,America/Detroit,-83.95464,69,42.76416
2570,48817,Corunna,Shiawassee,MI,Michigan,America/Detroit,-84.0386,6206,43.01787
2571,48818,Crystal,Montcalm,MI,Michigan,America/Detroit,-84.89219,2516,43.27545
2572,48819,Dansville,Ingham,MI,Michigan,America/Detroit,-84.28539,2816,42.54641
2573,48820,Dewitt,Clinton,MI,Michigan,America/Detroit,-84.59292,17893,42.86302
2574,48821,Dimondale,Eaton,MI,Michigan,America/Detroit,-84.64706,6065,42.63938
2575,48822,Eagle,Clinton,MI,Michigan,America/Detroit,-84.76068,2996,42.83333
2576,48823,East Lansing,Ingham,MI,Michigan,America/Detroit,-84.45391,51230,42.7619
2577,48825,East Lansing,Ingham,MI,Michigan,America/Detroit,-84.48087,12770,42.72701
2578,48827,Eaton Rapids,Eaton,MI,Michigan,America/Detroit,-84.65979,15953,42.50912
2579,48829,Edmore,Montcalm,MI,Michigan,America/Detroit,-85.0202,3429,43.4012
2580,48831,Elsie,Clinton,MI,Michigan,America/Detroit,-84.37169,3625,43.10289
2581,48832,Elwell,Gratiot,MI,Michigan,America/Detroit,-84.78014,1421,43.41464
2582,48834,Fenwick,Montcalm,MI,Michigan,America/Detroit,-85.02952,2060,43.13224
2583,48835,Fowler,Clinton,MI,Michigan,America/Detroit,-84.74685,3144,43.0283
2584,48836,Fowlerville,Livingston,MI,Michigan,America/Detroit,-84.07465,13920,42.67078
2585,48837,Grand Ledge,Eaton,MI,Michigan,America/Detroit,-84.7684,19669,42.74645
2586,48838,Greenville,Montcalm,MI,Michigan,America/Detroit,-85.25749,18301,43.18392
2587,48840,Haslett,Ingham,MI,Michigan,America/Detroit,-84.37066,12381,42.76902
2588,48841,Henderson,Shiawassee,MI,Michigan,America/Detroit,-84.237,768,43.11434
2589,48842,Holt,Ingham,MI,Michigan,America/Detroit,-84.53866,21827,42.63384
2590,48843,Howell,Livingston,MI,Michigan,America/Detroit,-83.92629,45910,42.56904
2591,48845,Hubbardston,Montcalm,MI,Michigan,America/Detroit,-84.8479,923,43.10442
